Participant,DigitSpanForward,DigitSpanBackward,RavensPercentCorrect,RoarPercentCorrect,RoaravgRT,VSLAttentionPercentCorrect,VSLPercentCorrect,PALPercentCorrect,LetterWordAVG,LetterLetterAVG,WordWordAVG,WordLetterAVG,Sex,Age,BetterExplicit,difference
6764760,5,6,0.828571429,0.968253968,619.9563492,0.958333333,0.40625,0.8,0.022222222,0.357760141,0.055555556,0.435780423,Female,23,0,-0.078020282
6764848,9,7,0.771428571,0.873015873,479.5412698,0.875,0.53125,0.8,0,0.189581223,0,0.200221484,Male,27,0,-0.010640261
6764940,7,10,0.828571429,0.944444444,538.7095238,0.979166667,0.71875,1,0.520833333,0.819444444,0.511111111,0.773809524,Female,24,1,0.04563492
6764946,6,6,0.771428571,0.928571429,696.6650794,0.666666667,0.53125,0.4,0.060606061,0.385930736,0,0.145079365,Female,24,1,0.240851371
6764991,2,5,0.971428571,0.984126984,670.6880952,0.958333333,0.46875,1,0.043478261,0.345652174,0.282608696,0.630434783,Male,20,0,-0.284782609
6764999,4,5,NA,0.984126984,702.6061538,0.729166667,0.4375,0.5,0,0.156992707,0,0.098611111,Female,36,1,0.058381596
6765045,1,7,0.257142857,0.674603175,1643.539683,0.291666667,0.53125,0.6,0,0.180642664,0.027027027,0.16988417,Female,22,1,0.010758494
6765056,6,10,0.771428571,0.908730159,610.5222222,0.895833333,0.65625,0.8,0.05,0.421309524,0,0.17037037,Female,32,1,0.250939154
6765125,11,6,0.971428571,0.924603175,660.884127,0.541666667,0.53125,0.9,0.29787234,0.658156028,0.229166667,0.610912698,Female,35,1,0.04724333
6765209,7,13,0.828571429,0.98015873,583.5071429,1,0.625,0.9,0,0.166835529,0.270833333,0.64375,Male,29,0,-0.476914471
6765219,9,8,0.8,0.952380952,495.215873,1,0.5625,1,0.173913043,0.513768116,0,0.181884058,Female,34,1,0.331884058
6765243,7,9,0.828571429,0.936507937,545.4214286,0.958333333,0.34375,0.5,0.043478261,0.306521739,0.044444444,0.550617284,Female,26,0,-0.244095545
6765244,12,14,0.942857143,0.972222222,550.2452381,0.979166667,1,1,0.489361702,0.80212766,0.875,0.961111111,Female,25,0,-0.158983451
6765256,10,13,0.2,0.873015873,569.4753968,0.854166667,0.46875,1,0.021276596,0.416008105,0.020833333,0.108134921,Female,26,1,0.307873184
6765263,8,11,0.857142857,0.992063492,662.9126984,0.979166667,0.59375,0.8,0.043478261,0.47826087,0.020833333,0.293055556,Male,29,1,0.185205314
6765277,10,6,0.885714286,0.873015873,479.3484127,0.958333333,0.84375,0.8,0.044444444,0.382222222,0.770833333,0.923611111,Female,25,0,-0.541388889
6765293,9,9,0.742857143,0.900793651,515.9761905,0.9375,0.4375,0.9,0.209302326,0.589147287,0.195652174,0.495652174,Female,28,1,0.093495113
6765322,11,NA,0.685714286,0.920634921,593.9603175,0.895833333,0.53125,0.9,0,0.275,0.021276596,0.289766971,Male,20,0,-0.014766971
6765332,10,6,0.828571429,0.96031746,492.7333333,0.875,0.46875,1,0.041666667,0.438194444,0.191489362,0.587234043,Male,30,0,-0.149039599
6765334,10,12,0.971428571,0.984126984,542.515873,0.979166667,0.375,1,0.708333333,0.89702381,0.913043478,0.971014493,Female,23,0,-0.073990683
6765346,10,8,0.857142857,0.920634921,491.1753968,0.833333333,0.53125,0.9,0,0.30324515,0.021276596,0.465248227,Female,24,0,-0.162003077
6765348,9,7,0.8,0.932539683,1047.392857,0.916666667,0.53125,0.7,0.363636364,0.698484848,0,0.138888889,Female,30,1,0.559595959
6765356,11,11,0.942857143,0.865079365,429.9801587,1,0.625,1,0.468085106,0.766160081,0.854166667,0.947222222,Female,34,0,-0.181062141
6765367,9,10,0.828571429,0.98015873,612.8793651,0.020833333,0.53125,1,0.29787234,0.703140831,0.319148936,0.670719352,Female,31,1,0.032421479
6765368,8,9,0.685714286,0.944444444,496.0650794,0.791666667,0.5,0.6,0.042553191,0.341134752,0,0.1,Female,30,1,0.241134752
6765370,7,6,0.2,0.956349206,694.6436508,0.770833333,0.40625,0.2,0,0.093620731,0,0.097163121,Female,34,0,-0.00354239
6765384,6,6,0.714285714,0.900793651,592.8722222,0.875,0.4375,0.5,0,0.106139169,0,0.126388889,Female,27,0,-0.02024972
6765388,10,8,0.857142857,0.876984127,538.5634921,0.9375,0.53125,0.9,0,0.178571429,0,0.083229814,Female,21,1,0.095341615
6765401,4,5,0.514285714,0.952380952,674.1492064,0.958333333,0.40625,0.8,0,0.145528455,0,0.182978723,Female,28,0,-0.037450268
6765407,14,13,1,0.920634921,442.0547619,1,0.40625,1,0.695652174,0.891304348,0.833333333,0.944444444,Female,27,0,-0.053140096
6765412,11,6,0.771428571,0.964285714,459.3230159,0.895833333,0.53125,0.9,0,0.222645503,0,0.104861111,Female,25,1,0.117784392
6765414,9,13,0.857142857,0.952380952,520.3047619,1,0.5,0.6,0.152173913,0.545755694,0.065217391,0.357971014,Female,36,1,0.18778468
6765441,7,12,0.771428571,0.880952381,540.4134921,0.979166667,0.65625,1,0.446808511,0.797163121,0.369565217,0.689855072,Female,23,1,0.107308049
6765443,12,9,0.857142857,0.948412698,563.634127,0.958333333,0.40625,0.9,0.565217391,0.858488613,0.666666667,0.878472222,Male,26,0,-0.019983609
6765454,9,6,0.714285714,0.861111111,545.4801587,0.916666667,0.5,0.7,0,0.217916667,0,0.052991453,Female,29,1,0.164925214
6765475,8,8,0.914285714,0.900793651,492.2087302,1,0.6875,0.9,0,0.317619048,0,0.129861111,Female,35,1,0.187757937
6765497,7,6,0.914285714,0.869047619,418.6952381,0.916666667,0.75,0.5,0.021276596,0.407092199,0.826086957,0.927536232,Female,20,0,-0.520444033
6765501,10,7,0.828571429,0.964285714,525.7365079,0.875,0.46875,0.4,0,0.307843137,0,0.107971014,Male,30,1,0.199872123
6765538,NA,7,0.857142857,0.94047619,529.4039683,0.875,0.4375,0.7,0.375,0.760416667,0.479166667,0.805555556,Male,22,0,-0.045138889
6765542,7,13,0.828571429,0.797619048,651.2396825,0,0.5,1,0.404255319,0.730496454,0,0.131884058,Male,27,1,0.598612396
6765547,8,5,0.857142857,0.94047619,691.9563492,0.4375,0.625,0.3,0,0.164387031,0,0.120833333,Male,33,1,0.043553698
6765591,8,2,0.8,0.904761905,475.0896825,0.916666667,0.53125,0.4,0.14893617,0.498429585,0.021276596,0.263829787,Male,28,1,0.234599798
6765637,11,6,0.771428571,0.845238095,429.4857143,0.833333333,0.4375,0.5,0,0.160385005,0,0.135531136,Male,31,1,0.024853869
6765664,9,12,0.742857143,0.976190476,553.1412698,1,0.375,0.8,0.043478261,0.364596273,0,0.298611111,Male,36,1,0.065985162
6765685,8,11,0.771428571,0.96031746,637.9984127,0.895833333,0.4375,0.3,0,0.273703704,0,0.111528822,Male,27,1,0.162174882
6765690,4,4,0.685714286,0.69047619,459.8960318,0.875,0.59375,0.6,0,0.055059524,0,0.09015873,Male,26,0,-0.035099206
6765809,6,4,0.542857143,0.956349206,732.5039683,0,0.34375,0.5,0,0.104545455,0,0.166666667,Male,32,0,-0.062121212
6765815,4,5,0.542857143,0.892857143,503.0063492,0,0.6875,0.4,0.170212766,0.556028369,0,0.117391304,Male,24,1,0.438637065
6765972,9,11,0.657142857,0.845238095,486.6785714,0.895833333,0.4375,0.7,0,0.100176367,0,0.10070922,Male,33,0,-0.000532853
6766024,10,11,0.971428571,0.952380952,521.015873,0.979166667,0.90625,0.8,0.282608696,0.673913043,0.382978723,0.730496454,Male,32,0,-0.056583411
6766200,8,4,0.742857143,0.976190476,514.0865079,0.979166667,0.6875,0.9,0,0.28797619,0,0.127407407,Male,34,1,0.160568783
6766458,13,13,0.742857143,0.892857143,511.8960317,0,0.5,0.5,0,0.192529331,0,0.136645963,Male,30,1,0.055883368
6766487,10,12,0.8,0.968253968,553.1190476,0.916666667,0.5,1,0.177777778,0.527407407,0.045454545,0.406060606,Male,29,1,0.121346801
6766518,13,10,1,0.98015873,825.1126984,1,0.84375,1,0.43902439,0.769221835,0.594594595,0.86048906,Male,22,0,-0.091267225
6766526,10,9,0.457142857,0.869047619,526.1785714,0,0.46875,0.9,0.020833333,0.275793651,0.021276596,0.1408308,Male,36,1,0.134962851
6766647,11,7,0.571428571,0.853174603,465.9857143,1,0.65625,0.6,0.088888889,0.396296296,0,0.201388889,Male,30,1,0.194907407
6766759,10,14,0.971428571,0.972222222,497.631746,1,0.6875,1,0.085106383,0.439716312,0,0.143849206,Male,24,1,0.295867106
6766783,12,12,0.914285714,0.896825397,461.0595238,1,0.9375,1,0.454545455,0.765151515,0.872340426,0.957446809,Male,26,0,-0.192295294
6766784,8,5,0.771428571,0.964285714,628.7031746,0.833333333,0.5,1,0.044444444,0.471111111,0.52173913,0.768115942,Male,26,0,-0.297004831
6780604,10,8,0.742857143,0.912698413,537.6071429,0.958333333,0.53125,0.9,0.489361702,0.753191489,0.104166667,0.495833333,Male,26,1,0.257358156
6785282,14,6,0.8,0.968253968,455.3031746,1,0.59375,1,0.063829787,0.378723404,0.553191489,0.783687943,Male,36,0,-0.404964539
6790287,12,8,0.828571429,0.964285714,641.6142857,0.9375,0.53125,0.6,0,0.066666667,0,0.176190476,Male,20,0,-0.109523809
6821382,8,10,0.885714286,0.595238095,373.7063492,1,0.8125,0.7,0,0.366666667,0.0625,0.494444444,Male,23,0,-0.127777777
6821726,9,9,0.857142857,0.785714286,452.1555556,0.770833333,0.65625,0.9,0.045454545,0.392857143,0.083333333,0.473611111,Male,34,0,-0.080753968
6837914,9,10,0.828571429,0.928571429,507.9579365,0.895833333,0.6875,1,0.914893617,0.971631206,0,0.288198758,Female,28,1,0.683432448
6853501,6,6,0.685714286,0.964285714,591.1650794,0.791666667,0.59375,0.6,0,0.223188406,0,0.20962963,Female,26,1,0.013558776
